ua
"Mozilla/5.0 (Linux; U; Android 14; zh-cn; 2206122SC Build/UKQ1.231003.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.6.40927"
"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; Android 8.1.0; V1818A Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20231002 MMWEBID/2064 MicroMessenger/8.0.43.2480(0x28002B38) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 HBPC/12.1.3.301"
"Mozilla/5.0 (Linux; Android 9; CB30 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Safari/537.36 XWEB/1300073 MMWEBSDK/20240404 MMWEBID/129 MicroMessenger/8.0.49.2600(0x2800313D) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Linux; Android 12; EBG-AN00 Build/HUAWEIEBG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/13.73 BDOS/1.0 (HarmonyOS 3.0.0) SP-engine/3.15.0 baiduboxapp/13.74.1.2 (Baidu; P1 12) NABar/1.0"
"Mozilla/5.0 (Linux; Android 12; ADY-AL00 Build/HUAWEIADY-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 os/android model/ADY-AL00 build/8220300 osVer/12 sdkInt/31 network/1 BiliApp/8220300 mobi_app/android channel/huawei Buvid/XUEADACE47A86E9BEAC1186D7E4D3CA69317A sessionID/dfb0d17f innerVer/8220310 c_locale/zh-Hans_CN s_locale/zh-Hans_CN disable_rcmd/0 themeId/2 sh/39"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43"
"Mozilla/5.0 (Linux; Android 13; M2102J2SC Build/TKQ1.221114.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 os/android model/M2102J2SC build/8210200 osVer/13 sdkInt/33 network/1 BiliApp/8210200 mobi_app/android channel/xiaomi Buvid/XY2AEFB241D07945AA0D9270A71ED6F88F7FA sessionID/4e332707 innerVer/8210210 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/2 sh/33"
"Mozilla/5.0 (Linux; Android 14; V2364A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.108 Mobile Safari/537.36 TwitterAndroid"
